[2023-11-06 19-49-17] Computations (cuda)
===================== -------------------
Data                : "imagenet"
Model               : "mobilenet"
Model attr.         : "alexnet"
Task                : "attack"
Kind of task        : "attr"
Opt. scale          : 15
Opt. dimension      : 2000
Opt. mode size      : 3
Opt. budget         : 10000
Opt. batch size     : 100
Opt. k-top          : 10
Opt. gd iters       : 100
Opt. learn. rate    : 0.01
Opt. TT-rank        : 5
=========================================


.... Loading "imagenet" dataset
DONE (     0.01 sec.) 


.... Loading "mobilenet" model
DONE (     3.15 sec.) 


.... Loading "alexnet" model
protes > m 9.2e+03 | t 2.490e+02 | y  4.8206e-01
protes > m 9.3e+03 | t 2.517e+02 | y  4.8175e-01
protes > m 9.4e+03 | t 2.544e+02 | y  4.8099e-01
protes > m 9.6e+03 | t 2.597e+02 | y  4.7858e-01
protes > m 9.9e+03 | t 2.678e+02 | y  4.7405e-01
protes > m 1.0e+04 | t 2.687e+02 | y  4.6898e-01 <<< DONE

    > fail | evals 10000

--> #    5 | c        5 | y     9.5e-01 | y_next 6.5e-03

protes > m 1.0e+02 | t 5.239e+00 | y  9.4789e-01
protes > m 2.0e+02 | t 7.927e+00 | y  9.4447e-01
protes > m 3.0e+02 | t 1.063e+01 | y  9.4301e-01
protes > m 4.0e+02 | t 1.332e+01 | y  9.4109e-01
protes > m 5.0e+02 | t 1.603e+01 | y  9.3893e-01
protes > m 6.0e+02 | t 1.871e+01 | y  9.3843e-01
protes > m 7.0e+02 | t 2.142e+01 | y  9.3706e-01
protes > m 9.0e+02 | t 2.680e+01 | y  9.3616e-01
protes > m 1.0e+03 | t 2.949e+01 | y  9.3560e-01
protes > m 1.1e+03 | t 3.219e+01 | y  9.3542e-01
protes > m 1.3e+03 | t 3.759e+01 | y  9.3301e-01
protes > m 1.7e+03 | t 4.835e+01 | y  9.3273e-01
protes > m 1.8e+03 | t 5.104e+01 | y  9.3228e-01
protes > m 1.9e+03 | t 5.374e+01 | y  9.3046e-01
protes > m 2.1e+03 | t 5.913e+01 | y  9.3041e-01
protes > m 2.4e+03 | t 6.720e+01 | y  9.3040e-01
protes > m 2.5e+03 | t 6.991e+01 | y  9.3029e-01
protes > m 2.6e+03 | t 7.258e+01 | y  9.2982e-01
protes > m 2.7e+03 | t 7.528e+01 | y  9.2956e-01
protes > m 2.8e+03 | t 7.797e+01 | y  9.2852e-01
protes > m 2.9e+03 | t 8.067e+01 | y  9.2836e-01
protes > m 3.0e+03 | t 8.336e+01 | y  9.2797e-01
protes > m 3.2e+03 | t 8.875e+01 | y  9.2751e-01
protes > m 3.4e+03 | t 9.413e+01 | y  9.2734e-01
protes > m 3.5e+03 | t 9.683e+01 | y  9.2636e-01
protes > m 3.7e+03 | t 1.022e+02 | y  9.2628e-01
protes > m 3.8e+03 | t 1.049e+02 | y  9.2555e-01
protes > m 3.9e+03 | t 1.076e+02 | y  9.2503e-01
protes > m 4.3e+03 | t 1.183e+02 | y  9.2407e-01
protes > m 4.5e+03 | t 1.237e+02 | y  9.2350e-01
protes > m 4.6e+03 | t 1.263e+02 | y  9.2314e-01
protes > m 4.9e+03 | t 1.343e+02 | y  9.2280e-01
protes > m 5.0e+03 | t 1.370e+02 | y  9.2216e-01
protes > m 5.1e+03 | t 1.397e+02 | y  9.2195e-01
protes > m 5.2e+03 | t 1.424e+02 | y  9.2161e-01
protes > m 5.3e+03 | t 1.450e+02 | y  9.2156e-01
protes > m 5.4e+03 | t 1.477e+02 | y  9.2022e-01
protes > m 5.7e+03 | t 1.557e+02 | y  9.1977e-01
protes > m 5.8e+03 | t 1.584e+02 | y  9.1831e-01
protes > m 6.1e+03 | t 1.664e+02 | y  9.1747e-01
protes > m 7.1e+03 | t 1.931e+02 | y  9.1634e-01
protes > m 7.2e+03 | t 1.958e+02 | y  9.1620e-01
protes > m 7.4e+03 | t 2.011e+02 | y  9.1560e-01
protes > m 7.7e+03 | t 2.091e+02 | y  9.1526e-01
protes > m 8.0e+03 | t 2.171e+02 | y  9.1467e-01
protes > m 8.2e+03 | t 2.225e+02 | y  9.1446e-01
protes > m 8.4e+03 | t 2.278e+02 | y  9.1307e-01
protes > m 8.7e+03 | t 2.358e+02 | y  9.1243e-01
protes > m 8.8e+03 | t 2.385e+02 | y  9.1227e-01
protes > m 9.0e+03 | t 2.438e+02 | y  9.1193e-01
protes > m 9.1e+03 | t 2.465e+02 | y  9.1084e-01
protes > m 9.4e+03 | t 2.545e+02 | y  9.1058e-01
protes > m 9.7e+03 | t 2.625e+02 | y  9.1019e-01
protes > m 1.0e+04 | t 2.688e+02 | y  9.1019e-01 <<< DONE

    > fail | evals 10000

--> #    7 | c        7 | y     3.8e-01 | y_next 1.1e-01

protes > m 1.0e+02 | t 5.142e+00 | y  3.5118e-01
protes > m 2.0e+02 | t 7.876e+00 | y  3.1451e-01
protes > m 3.0e+02 | t 1.059e+01 | y  2.8910e-01
protes > m 4.0e+02 | t 1.333e+01 | y  2.8673e-01
protes > m 5.0e+02 | t 1.604e+01 | y  2.6975e-01
protes > m 6.0e+02 | t 1.877e+01 | y  2.6754e-01
protes > m 7.0e+02 | t 2.149e+01 | y  2.5315e-01
protes > m 8.0e+02 | t 2.421e+01 | y  2.3256e-01
protes > m 9.0e+02 | t 2.693e+01 | y  2.2568e-01
protes > m 1.0e+03 | t 2.966e+01 | y  2.2050e-01
protes > m 1.4e+03 | t 4.055e+01 | y  1.9562e-01
protes > m 1.5e+03 | t 4.327e+01 | y  1.9544e-01
protes > m 1.6e+03 | t 4.600e+01 | y  1.9543e-01
protes > m 1.7e+03 | t 4.871e+01 | y  1.8899e-01
protes > m 2.0e+03 | t 5.688e+01 | y  1.8141e-01
protes > m 2.3e+03 | t 6.504e+01 | y  1.7559e-01
protes > m 2.4e+03 | t 6.777e+01 | y  1.6960e-01
protes > m 2.6e+03 | t 7.322e+01 | y  1.6645e-01
protes > m 2.7e+03 | t 7.593e+01 | y  1.6253e-01
protes > m 3.0e+03 | t 8.410e+01 | y  1.6039e-01
protes > m 3.2e+03 | t 8.955e+01 | y  1.5705e-01
protes > m 3.4e+03 | t 9.499e+01 | y  1.5478e-01
protes > m 3.5e+03 | t 9.771e+01 | y  1.4963e-01
protes > m 3.8e+03 | t 1.059e+02 | y  1.4604e-01
protes > m 4.0e+03 | t 1.113e+02 | y  1.4511e-01
protes > m 4.1e+03 | t 1.140e+02 | y  1.4508e-01
protes > m 4.2e+03 | t 1.168e+02 | y  1.3091e-01
protes > m 4.9e+03 | t 1.358e+02 | y  1.2932e-01
protes > m 5.0e+03 | t 1.385e+02 | y  1.2125e-01
protes > m 5.6e+03 | t 1.549e+02 | y  1.2105e-01
protes > m 5.7e+03 | t 1.576e+02 | y  1.1531e-01
protes > m 5.8e+03 | t 1.603e+02 | y  1.1442e-01
protes > m 5.9e+03 | t 1.630e+02 | y  1.1188e-01
protes > m 6.2e+03 | t 1.712e+02 | y  1.1085e-01
protes > m 6.3e+03 | t 1.739e+02 | y  1.0788e-01
protes > m 6.3e+03 | t 1.742e+02 | y  1.0788e-01 <<< DONE

+++ >        c_new   84 | y_new 1.1e-01 | y_old 1.0e-01 | evals  6330
    : changes  1345 | dx1 9.0e+02 | dx2 3.0e+01
    : l_old : cock
    : l_new : peacock


--> #    8 | c        8 | y     3.8e-01 | y_next 3.3e-01


+++ >        c_new    7 | y_new 3.7e-01 | y_old 3.4e-01 | evals     1
    : changes  1295 | dx1 3.4e+02 | dx2 1.5e+01
    : l_old : hen
    : l_new : cock


