Using cache found in /trinity/home/a.chertkov/.cache/torch/hub/pytorch_vision_v0.10.0
Using cache found in /trinity/home/a.chertkov/.cache/torch/hub/pytorch_vision_v0.10.0
No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
[2023-04-10 01-21-57] Computations (cuda)
===================== -------------------
Data                : "imagenet"
Model               : "alexnet"
Task                : "attack"
Kind of task        : "attr"
=========================================


.... Loading "imagenet" dataset


.... Loading "alexnet" model
DONE (    20.83 sec.) 


.... Loading "vgg19" model
DONE (     3.17 sec.) 

Image : [-2.1e+00,  2.5e+00] (avg: -6.5e-02)

.... Optimization with PROTES method:
protes > m 5.0e+01 | t 3.013e+00 | y -4.0418e-01
protes > m 1.0e+02 | t 3.288e+00 | y -3.9599e-01
protes > m 2.0e+02 | t 3.837e+00 | y -3.8364e-01
protes > m 3.0e+02 | t 4.385e+00 | y -3.7049e-01
protes > m 7.5e+02 | t 6.852e+00 | y -3.6865e-01
protes > m 8.0e+02 | t 7.125e+00 | y -3.6253e-01
protes > m 1.4e+03 | t 1.068e+01 | y -3.4051e-01
protes > m 2.8e+03 | t 1.804e+01 | y -3.3706e-01
protes > m 3.0e+03 | t 1.886e+01 | y -3.3333e-01
protes > m 3.2e+03 | t 2.050e+01 | y -3.3021e-01
protes > m 3.5e+03 | t 2.186e+01 | y -3.1987e-01
protes > m 4.5e+03 | t 2.733e+01 | y -3.1261e-01
protes > m 4.8e+03 | t 2.925e+01 | y -3.0623e-01
protes > m 5.0e+03 | t 3.034e+01 | y -3.0458e-01
protes > m 5.6e+03 | t 3.308e+01 | y -3.0342e-01
protes > m 5.6e+03 | t 3.362e+01 | y -3.0257e-01
protes > m 5.8e+03 | t 3.417e+01 | y -2.9425e-01
protes > m 6.2e+03 | t 3.687e+01 | y -2.9419e-01
protes > m 6.4e+03 | t 3.794e+01 | y -2.8884e-01
protes > m 6.7e+03 | t 3.928e+01 | y -2.8474e-01
protes > m 7.2e+03 | t 4.196e+01 | y -2.8315e-01
protes > m 7.3e+03 | t 4.250e+01 | y -2.8181e-01
protes > m 7.4e+03 | t 4.304e+01 | y -2.8011e-01
protes > m 7.7e+03 | t 4.465e+01 | y -2.7853e-01
protes > m 7.8e+03 | t 4.519e+01 | y -2.7835e-01
protes > m 7.9e+03 | t 4.572e+01 | y -2.7831e-01
protes > m 8.2e+03 | t 4.734e+01 | y -2.7677e-01
protes > m 8.4e+03 | t 4.815e+01 | y -2.7538e-01
protes > m 8.6e+03 | t 4.950e+01 | y -2.7361e-01
protes > m 8.6e+03 | t 4.977e+01 | y -2.6981e-01
protes > m 9.0e+03 | t 5.166e+01 | y -2.6867e-01
protes > m 9.1e+03 | t 5.220e+01 | y -2.6411e-01
protes > m 9.4e+03 | t 5.355e+01 | y -2.5981e-01
protes > m 1.0e+04 | t 5.709e+01 | y -2.5714e-01
protes > m 1.1e+04 | t 6.228e+01 | y -2.5163e-01
protes > m 1.1e+04 | t 6.501e+01 | y -2.4996e-01
protes > m 1.2e+04 | t 6.665e+01 | y -2.4944e-01
protes > m 1.2e+04 | t 6.720e+01 | y -2.4643e-01
protes > m 1.2e+04 | t 6.829e+01 | y -2.4568e-01
protes > m 1.3e+04 | t 7.129e+01 | y -2.4321e-01
protes > m 1.3e+04 | t 7.266e+01 | y -2.4278e-01
protes > m 1.3e+04 | t 7.457e+01 | y -2.4169e-01
protes > m 1.4e+04 | t 7.648e+01 | y -2.4164e-01
protes > m 1.4e+04 | t 7.675e+01 | y -2.4014e-01
protes > m 1.4e+04 | t 7.703e+01 | y -2.3981e-01
protes > m 1.4e+04 | t 7.757e+01 | y -2.3864e-01
protes > m 1.4e+04 | t 7.839e+01 | y -2.3773e-01
protes > m 1.4e+04 | t 7.867e+01 | y -2.3583e-01
protes > m 1.4e+04 | t 8.167e+01 | y -2.3491e-01
protes > m 1.5e+04 | t 8.330e+01 | y -2.3179e-01
protes > m 1.6e+04 | t 8.876e+01 | y -2.3080e-01
protes > m 1.6e+04 | t 8.903e+01 | y -2.2885e-01
protes > m 1.6e+04 | t 8.931e+01 | y -2.2581e-01
protes > m 1.7e+04 | t 9.505e+01 | y -2.2406e-01
protes > m 1.8e+04 | t 9.853e+01 | y -2.2389e-01
protes > m 1.8e+04 | t 1.007e+02 | y -2.2316e-01
protes > m 1.8e+04 | t 1.026e+02 | y -2.2269e-01
protes > m 1.9e+04 | t 1.036e+02 | y -2.2201e-01
protes > m 1.9e+04 | t 1.042e+02 | y -2.2186e-01
protes > m 1.9e+04 | t 1.047e+02 | y -2.2172e-01
protes > m 1.9e+04 | t 1.053e+02 | y -2.2163e-01
protes > m 1.9e+04 | t 1.061e+02 | y -2.2070e-01
protes > m 1.9e+04 | t 1.080e+02 | y -2.2059e-01
protes > m 1.9e+04 | t 1.082e+02 | y -2.2056e-01
protes > m 1.9e+04 | t 1.085e+02 | y -2.2045e-01
protes > m 2.0e+04 | t 1.088e+02 | y -2.2040e-01
protes > m 2.0e+04 | t 1.091e+02 | y -2.2001e-01
protes > m 2.0e+04 | t 1.107e+02 | y -2.1986e-01
protes > m 2.0e+04 | t 1.110e+02 | y -2.1926e-01
protes > m 2.0e+04 | t 1.123e+02 | y -2.1889e-01
protes > m 2.0e+04 | t 1.137e+02 | y -2.1861e-01
protes > m 2.0e+04 | t 1.142e+02 | y -2.1836e-01
protes > m 2.1e+04 | t 1.156e+02 | y -2.1819e-01
protes > m 2.1e+04 | t 1.159e+02 | y -2.1775e-01
protes > m 2.1e+04 | t 1.167e+02 | y -2.1751e-01
protes > m 2.1e+04 | t 1.173e+02 | y -2.1700e-01
protes > m 2.1e+04 | t 1.189e+02 | y -2.1681e-01
protes > m 2.1e+04 | t 1.192e+02 | y -2.1626e-01
protes > m 2.2e+04 | t 1.238e+02 | y -2.1620e-01
protes > m 2.2e+04 | t 1.244e+02 | y -2.1604e-01
protes > m 2.3e+04 | t 1.257e+02 | y -2.1506e-01
protes > m 2.3e+04 | t 1.290e+02 | y -2.1482e-01
protes > m 2.4e+04 | t 1.309e+02 | y -2.1457e-01
protes > m 2.4e+04 | t 1.334e+02 | y -2.1447e-01
protes > m 2.4e+04 | t 1.339e+02 | y -2.1424e-01
protes > m 2.5e+04 | t 1.397e+02 | y -2.1410e-01
protes > m 2.6e+04 | t 1.416e+02 | y -2.1400e-01
protes > m 2.6e+04 | t 1.424e+02 | y -2.1390e-01
protes > m 2.6e+04 | t 1.427e+02 | y -2.1375e-01
protes > m 2.6e+04 | t 1.430e+02 | y -2.1363e-01
protes > m 2.6e+04 | t 1.432e+02 | y -2.1357e-01
protes > m 2.6e+04 | t 1.457e+02 | y -2.1356e-01
protes > m 2.6e+04 | t 1.471e+02 | y -2.1352e-01
protes > m 2.7e+04 | t 1.479e+02 | y -2.1350e-01
protes > m 2.7e+04 | t 1.493e+02 | y -2.1342e-01
protes > m 2.7e+04 | t 1.503e+02 | y -2.1341e-01
protes > m 2.8e+04 | t 1.528e+02 | y -2.1332e-01
protes > m 2.8e+04 | t 1.547e+02 | y -2.1329e-01
protes > m 2.8e+04 | t 1.563e+02 | y -2.1324e-01
protes > m 2.8e+04 | t 1.576e+02 | y -2.1324e-01
protes > m 2.9e+04 | t 1.582e+02 | y -2.1322e-01
protes > m 2.9e+04 | t 1.600e+02 | y -2.1322e-01
protes > m 2.9e+04 | t 1.608e+02 | y -2.1307e-01
protes > m 3.0e+04 | t 1.638e+02 | y -2.1288e-01
protes > m 3.0e+04 | t 1.649e+02 | y -2.1286e-01
protes > m 3.0e+04 | t 1.651e+02 | y -2.1267e-01
protes > m 3.0e+04 | t 1.657e+02 | y -2.1267e-01
protes > m 3.1e+04 | t 1.738e+02 | y -2.1266e-01
protes > m 3.2e+04 | t 1.779e+02 | y -2.1263e-01
protes > m 3.2e+04 | t 1.782e+02 | y -2.1263e-01
protes > m 3.3e+04 | t 1.806e+02 | y -2.1263e-01
protes > m 9.6e+04 | t 5.256e+02 | y -2.1254e-01
protes > m 1.0e+05 | t 5.461e+02 | y -2.1254e-01 <<< DONE
Result is : -2.1e-01
DONE (   546.10 sec.) 
Image : [-2.1e+00,  2.6e+00] (avg: -6.6e-03)

.... Optimization with PROTES method:
protes > m 5.0e+01 | t 3.205e+00 | y -8.6823e-01
protes > m 1.0e+02 | t 3.479e+00 | y -8.5838e-01
protes > m 8.0e+02 | t 7.304e+00 | y -8.5637e-01
protes > m 9.0e+02 | t 7.850e+00 | y -8.5588e-01
protes > m 1.8e+03 | t 1.276e+01 | y -8.4203e-01
protes > m 2.7e+03 | t 1.767e+01 | y -8.3446e-01
protes > m 3.0e+03 | t 1.904e+01 | y -8.3269e-01
protes > m 3.6e+03 | t 2.286e+01 | y -8.3109e-01
protes > m 4.2e+03 | t 2.613e+01 | y -8.2687e-01
protes > m 4.3e+03 | t 2.640e+01 | y -8.2404e-01
protes > m 4.8e+03 | t 2.908e+01 | y -8.2209e-01
protes > m 5.0e+03 | t 3.043e+01 | y -8.1724e-01
protes > m 5.3e+03 | t 3.177e+01 | y -8.1049e-01
protes > m 6.0e+03 | t 3.553e+01 | y -8.0832e-01
protes > m 6.3e+03 | t 3.715e+01 | y -8.0805e-01
protes > m 6.6e+03 | t 3.904e+01 | y -8.0543e-01
protes > m 6.8e+03 | t 4.012e+01 | y -8.0529e-01
protes > m 7.0e+03 | t 4.120e+01 | y -8.0314e-01
protes > m 7.2e+03 | t 4.228e+01 | y -7.9391e-01
protes > m 7.9e+03 | t 4.581e+01 | y -7.9288e-01
protes > m 8.0e+03 | t 4.608e+01 | y -7.9280e-01
protes > m 8.0e+03 | t 4.635e+01 | y -7.8885e-01
protes > m 8.0e+03 | t 4.662e+01 | y -7.8661e-01
protes > m 8.2e+03 | t 4.717e+01 | y -7.7829e-01
protes > m 8.4e+03 | t 4.881e+01 | y -7.7401e-01
protes > m 9.5e+03 | t 5.454e+01 | y -7.7364e-01
protes > m 9.8e+03 | t 5.591e+01 | y -7.7162e-01
protes > m 9.8e+03 | t 5.645e+01 | y -7.6178e-01
protes > m 9.9e+03 | t 5.672e+01 | y -7.6037e-01
protes > m 1.1e+04 | t 6.355e+01 | y -7.5916e-01
protes > m 1.1e+04 | t 6.491e+01 | y -7.5580e-01
protes > m 1.2e+04 | t 6.545e+01 | y -7.5362e-01
protes > m 1.2e+04 | t 6.572e+01 | y -7.4882e-01
protes > m 1.2e+04 | t 6.654e+01 | y -7.4869e-01
protes > m 1.2e+04 | t 6.790e+01 | y -7.4535e-01
protes > m 1.2e+04 | t 6.953e+01 | y -7.4341e-01
protes > m 1.2e+04 | t 7.062e+01 | y -7.4323e-01
protes > m 1.3e+04 | t 7.116e+01 | y -7.4218e-01
protes > m 1.3e+04 | t 7.171e+01 | y -7.4034e-01
protes > m 1.3e+04 | t 7.198e+01 | y -7.3994e-01
protes > m 1.3e+04 | t 7.361e+01 | y -7.3934e-01
protes > m 1.3e+04 | t 7.443e+01 | y -7.3543e-01
protes > m 1.3e+04 | t 7.525e+01 | y -7.2868e-01
protes > m 1.4e+04 | t 7.797e+01 | y -7.2740e-01
protes > m 1.4e+04 | t 7.824e+01 | y -7.2681e-01
protes > m 1.4e+04 | t 8.015e+01 | y -7.2330e-01
protes > m 1.5e+04 | t 8.206e+01 | y -7.2276e-01
protes > m 1.5e+04 | t 8.260e+01 | y -7.2229e-01
protes > m 1.5e+04 | t 8.451e+01 | y -7.2168e-01
protes > m 1.5e+04 | t 8.478e+01 | y -7.1966e-01
protes > m 1.5e+04 | t 8.669e+01 | y -7.1622e-01
protes > m 1.6e+04 | t 8.722e+01 | y -7.1359e-01
protes > m 1.6e+04 | t 8.962e+01 | y -7.1345e-01
protes > m 1.6e+04 | t 9.069e+01 | y -7.0987e-01
protes > m 1.6e+04 | t 9.230e+01 | y -7.0828e-01
protes > m 1.7e+04 | t 9.284e+01 | y -7.0735e-01
protes > m 1.7e+04 | t 9.444e+01 | y -7.0559e-01
protes > m 1.7e+04 | t 9.471e+01 | y -7.0514e-01
protes > m 1.7e+04 | t 9.578e+01 | y -7.0241e-01
protes > m 1.7e+04 | t 9.605e+01 | y -6.9771e-01
protes > m 1.8e+04 | t 1.012e+02 | y -6.9362e-01
protes > m 1.8e+04 | t 1.028e+02 | y -6.9154e-01
protes > m 1.9e+04 | t 1.041e+02 | y -6.8761e-01
protes > m 2.0e+04 | t 1.087e+02 | y -6.8570e-01
protes > m 2.0e+04 | t 1.117e+02 | y -6.8406e-01
protes > m 2.0e+04 | t 1.142e+02 | y -6.8176e-01
protes > m 2.1e+04 | t 1.155e+02 | y -6.8131e-01
protes > m 2.1e+04 | t 1.169e+02 | y -6.7921e-01
protes > m 2.2e+04 | t 1.196e+02 | y -6.7856e-01
protes > m 2.2e+04 | t 1.210e+02 | y -6.7585e-01
protes > m 2.2e+04 | t 1.223e+02 | y -6.7558e-01
protes > m 2.3e+04 | t 1.272e+02 | y -6.7536e-01
protes > m 2.3e+04 | t 1.286e+02 | y -6.7511e-01
protes > m 2.3e+04 | t 1.291e+02 | y -6.7322e-01
protes > m 2.3e+04 | t 1.302e+02 | y -6.7295e-01
protes > m 2.4e+04 | t 1.308e+02 | y -6.7244e-01
protes > m 2.4e+04 | t 1.316e+02 | y -6.7180e-01
protes > m 2.4e+04 | t 1.338e+02 | y -6.7078e-01
protes > m 2.4e+04 | t 1.340e+02 | y -6.7023e-01
protes > m 2.4e+04 | t 1.343e+02 | y -6.6944e-01
protes > m 2.4e+04 | t 1.357e+02 | y -6.6872e-01
protes > m 2.5e+04 | t 1.390e+02 | y -6.6783e-01
protes > m 2.6e+04 | t 1.414e+02 | y -6.6775e-01
protes > m 2.6e+04 | t 1.430e+02 | y -6.6740e-01
protes > m 2.6e+04 | t 1.441e+02 | y -6.6725e-01
protes > m 2.6e+04 | t 1.452e+02 | y -6.6610e-01
protes > m 2.7e+04 | t 1.474e+02 | y -6.6600e-01
protes > m 2.7e+04 | t 1.479e+02 | y -6.6543e-01
protes > m 2.7e+04 | t 1.482e+02 | y -6.6476e-01
protes > m 2.7e+04 | t 1.490e+02 | y -6.6358e-01
protes > m 2.8e+04 | t 1.560e+02 | y -6.6294e-01
protes > m 2.9e+04 | t 1.601e+02 | y -6.6276e-01
protes > m 3.0e+04 | t 1.631e+02 | y -6.6191e-01
protes > m 3.0e+04 | t 1.658e+02 | y -6.6166e-01
protes > m 3.0e+04 | t 1.663e+02 | y -6.6156e-01
protes > m 3.1e+04 | t 1.713e+02 | y -6.6086e-01
protes > m 3.2e+04 | t 1.743e+02 | y -6.6031e-01
protes > m 3.3e+04 | t 1.844e+02 | y -6.6004e-01
protes > m 7.8e+04 | t 4.267e+02 | y -6.5921e-01
protes > m 1.0e+05 | t 5.464e+02 | y -6.5921e-01 <<< DONE
Result is : -6.6e-01
DONE (   546.38 sec.) 
Image : [-2.0e+00,  2.6e+00] (avg: -1.4e-01)

.... Optimization with PROTES method:
protes > m 5.0e+01 | t 2.945e+00 | y -4.5451e-01
protes > m 1.0e+02 | t 3.213e+00 | y -3.8970e-01
protes > m 5.0e+02 | t 5.354e+00 | y -3.7607e-01
protes > m 7.0e+02 | t 6.425e+00 | y -3.6192e-01
protes > m 1.2e+03 | t 8.833e+00 | y -3.6071e-01
protes > m 1.6e+03 | t 1.097e+01 | y -3.3879e-01
protes > m 1.6e+03 | t 1.151e+01 | y -2.9758e-01
protes > m 2.0e+03 | t 1.311e+01 | y -2.8034e-01
protes > m 2.1e+03 | t 1.391e+01 | y -2.4009e-01
protes > m 2.9e+03 | t 1.819e+01 | y -1.8185e-01
protes > m 3.2e+03 | t 2.006e+01 | y -1.8006e-01
protes > m 3.3e+03 | t 2.033e+01 | y -6.3875e-02
protes > m 4.8e+03 | t 2.811e+01 | y  2.0781e-02
protes > m 5.2e+03 | t 3.054e+01 | y  3.6759e-02
protes > m 5.2e+03 | t 3.081e+01 | y  4.7921e-02
protes > m 5.9e+03 | t 3.431e+01 | y  5.0496e-02
protes > m 6.1e+03 | t 3.540e+01 | y  7.3314e-02
protes > m 6.6e+03 | t 3.784e+01 | y  1.3199e-01
protes > m 6.7e+03 | t 3.866e+01 | y  1.5045e-01
protes > m 7.0e+03 | t 4.002e+01 | y  1.5786e-01
protes > m 7.2e+03 | t 4.140e+01 | y  1.7729e-01
protes > m 7.7e+03 | t 4.413e+01 | y  2.1684e-01
protes > m 8.5e+03 | t 4.851e+01 | y  2.1890e-01
protes > m 8.6e+03 | t 4.878e+01 | y  2.3867e-01
protes > m 8.6e+03 | t 4.905e+01 | y  2.4453e-01
protes > m 8.6e+03 | t 4.933e+01 | y  2.4862e-01
protes > m 8.8e+03 | t 5.015e+01 | y  2.5939e-01
protes > m 9.3e+03 | t 5.289e+01 | y  2.8324e-01
protes > m 9.4e+03 | t 5.316e+01 | y  2.8876e-01
protes > m 1.0e+04 | t 5.726e+01 | y  2.8973e-01
protes > m 1.0e+04 | t 5.753e+01 | y  3.2085e-01
protes > m 1.0e+04 | t 5.918e+01 | y  3.3778e-01
protes > m 1.1e+04 | t 6.054e+01 | y  3.4763e-01
protes > m 1.1e+04 | t 6.354e+01 | y  3.6223e-01
protes > m 1.1e+04 | t 6.463e+01 | y  3.7140e-01
protes > m 1.2e+04 | t 6.954e+01 | y  3.8220e-01
protes > m 1.3e+04 | t 7.090e+01 | y  3.9926e-01
